grupo,categoria,tipo_producto,titulo,pais,revista,ISSN,ano,vol,fasc,pags,autores
URBANITAS,Otros artículos publicados,Revista de divulgación,A 30 años de la partida de Juan Guillermo Rúa,Colombia,Revista Porro y Folclor,2248-4647,2018,25,25,11 - 13,MARCOS VEGA SENANA
URBANITAS,Otros artículos publicados,Revista de divulgación,Abraham Núñez Narváez: el último de Los Corraleros,Colombia,Revista Porro y Folclor,2248-4647,2018,25,25,14 - 17,MARCOS VEGA SENANA
URBANITAS,Otros artículos publicados,Periódico de noticias,Comunicación alternativa y la Medellín por descubrir,Colombia,Sextante,2145-4256,2018,1,na,2 - 2,ANCIZAR VARGAS LEONNA
URBANITAS,Otros artículos publicados,Revista de divulgación,"New media ecology, branding digital e industria publicitaria. Convergencias y entornos disruptivos",Colombia,Encuentro Nacional De Investigación Memorias,2463-0004,2018,21,1,66 - 70,EDWIN ANDRES SEPULVEDA CARDONANA
URBANITAS,Otros artículos publicados,Revista de divulgación,La oralidad digital como práctica lectora,Colombia,Encuentro Nacional De Investigación Memorias,2463-0004,2018,21,N/A,53 - 59,"WILSON CASTANO MUNOZ, CARLOS SUAREZ QUICENONA"
URBANITAS,Otros artículos publicados,Revista de divulgación,Apuntes para un estudio de cibermedios aplicado a editoriales universitarias,Colombia,Encuentro Nacional De Investigación Memorias,2463-0004,2018,21,1,60 - 66,EDWIN ANDRES SEPULVEDA CARDONANA
URBANITAS,Otros artículos publicados,Periódico de noticias,Cultura ciudadana para la sostenibilidad,Colombia,Sextante,2145-4256,2018,1,na,2 - 2,ANCIZAR VARGAS LEONNA
URBANITAS,Otros artículos publicados,Periódico de noticias,Memoria y sociedad en tiempos de trznsición,Colombia,Sextante,2145-4256,2017,1,na,2 - 2,ANCIZAR VARGAS LEONNA
URBANITAS,Otros artículos publicados,Revista de divulgación,E-Salud una ventana abierta a la prevención de las adicciones,Colombia,CIFCOM 2017,2500-6037,2017,6,"NA",1 - 12,"EDWIN ANDRES SEPULVEDA CARDONA, SANDRA MILENA RESTREPO ESCOBARNA"
URBANITAS,Otros artículos publicados,Periódico de noticias,Los modelos pedagógicos como estructura para el desarrollo de campañas publicitarias de orden social y comercial,Argentina,Actas  De Diseño,1850-2032,2017,1,23,163 - 169,RAFAEL VARGAS CANONA
URBANITAS,Otros artículos publicados,Periódico de noticias,Los modelos pedagógicos como estructura para el desarrollo de campañas publicitarias de orden social y comercial,Argentina,Actas  De Diseño,1850-2032,2017,23,23,163 - 169,RAFAEL VARGAS CANONA
URBANITAS,Otros artículos publicados,Revista de divulgación,E-Salud una ventana abierta a la prevención de las adicciones,Colombia,CIFCOM 2017,2500-5987,2017,6,"NA",669 - 681,"EDWIN ANDRES SEPULVEDA CARDONA, SANDRA MILENA RESTREPO ESCOBARNA"
URBANITAS,Otros artículos publicados,Revista de divulgación,Transmedia e intertextualidades: apuntes para la formación de competencias narrativas,España,Revista Internacional de Cultura Visual,2530-4666,2017,4,N/A,17 - 24,"CARLOS SUAREZ QUICENO, EDWIN ANDRES SEPULVEDA CARDONANA"
URBANITAS,Otros artículos publicados,Revista de divulgación,TRANSMEDIA E INTERTEXTUALIDADES: apuntes para la formación de competencias narrativas,España,Revista Internacional de Cultura Visual,2530-4666,2017,4,N/A,17 - 24,"EDWIN ANDRES SEPULVEDA CARDONA, CARLOS SUAREZ QUICENONA"
URBANITAS,Otros artículos publicados,Periódico de noticias,Medellín mediadora y creativa,Colombia,Sextante,2145-4256,2017,1,"NA",2 - 2,ANCIZAR VARGAS LEONNA
URBANITAS,Otros artículos publicados,Periódico de noticias,Sociedad incluyente en tiempos de transformación,Colombia,Sextante,2145-4256,2016,1,"NA",2 - 2,ANCIZAR VARGAS LEONNA
URBANITAS,Otros artículos publicados,Revista de divulgación,Apuntes desde el diseño de experiencias de lectura para la producción de libros digitales en Colombia,Colombia,Encuentro Nacional De Investigación Memorias,2463-0004,2016,19,,57 - 62,"CARLOS SUAREZ QUICENO, EDWIN ANDRES SEPULVEDA CARDONANA"
URBANITAS,Otros artículos publicados,Revista de divulgación,Apuntes desde el diseño de experiencias de lectura para la producción de libros digitales en Colombia,Colombia,Encuentro Nacional De Investigación Memorias,2463-0004,2016,1,N/A,57 - 62,EDWIN ANDRES SEPULVEDA CARDONANA
URBANITAS,Otros artículos publicados,Revista de divulgación,Narraciones transmedia en cinco tuits: del aula de clase al impacto de los medios sociales,Colombia,Encuentro Nacional De Investigación Memorias,2463-0004,2016,1,N/A,68 - 76,EDWIN ANDRES SEPULVEDA CARDONANA
URBANITAS,Otros artículos publicados,Revista de divulgación,"Transmedia literacy, medios y sujetos en formación",Colombia,Encuentro Nacional De Investigación Memorias,2463-0004,2015,1,N/A,216 - 226,EDWIN ANDRES SEPULVEDA CARDONANA
URBANITAS,Otros artículos publicados,Revista de divulgación,Remediación digital del texto impreso y andamiaje instruccional para propiciar experiencias de lectura en pantalla,Colombia,Bibliotic Repositorio Institucional,2390-0598,2015,7,,1 - 11,CARLOS SUAREZ QUICENONA
URBANITAS,Otros artículos publicados,Revista de divulgación,Libros digitales e interactivos: el lector y el lectoespectador,Colombia,Bibliotic Repositorio Institucional,2390-0598,2014,1,N/A,1 - 15,EDWIN ANDRES SEPULVEDA CARDONANA
URBANITAS,Otros artículos publicados,Revista de divulgación,Literacidad electrónica en dispositivos móviles e inclusión de dispositivos en bibliotecas,Colombia,Bibliotic Repositorio Institucional,2390-0598,2014,1,N/A,1 - 14,EDWIN ANDRES SEPULVEDA CARDONANA
URBANITAS,Otros artículos publicados,Revista de divulgación,Fórmula inmortal: juego interactivo de texto orientado al desarrollo de la comprensión de lectura,Colombia,"Revista Digital Estado Del Arte De La Informática En Colombia Ribie-Col No 3,",2145-7093,2012,4,,2 -,CARLOS SUAREZ QUICENONA
URBANITAS,Otros artículos publicados,Revista de divulgación,Los Objetos Virtuales de Aprendizaje (Videotutoriales) aplicados a espacios b-learning en programas académicos de Comunicación Social y Publicidad.,Colombia,"Revista Digital Estado Del Arte De La Informática En Colombia Ribie-Col No 3,",2145-7093,2012,4,N/A,86 - 120,EDWIN ANDRES SEPULVEDA CARDONANA
URBANITAS,Otros artículos publicados,Revista de divulgación,"Escritura, relatos interactivos y mediación de software",Colombia,"Revista Digital Estado Del Arte De La Informática En Colombia Ribie-Col No 3,",2145-7093,2012,4,N/A,2 - 10,EDWIN ANDRES SEPULVEDA CARDONANA
URBANITAS,Otros artículos publicados,Revista de divulgación,"Escritura, relatos interactivos y mediación de software",Colombia,"Revista Digital Estado Del Arte De La Informática En Colombia Ribie-Col No 3,",2145-7093,2012,4,,2 -,"CARLOS SUAREZ QUICENO, EDWIN ANDRES SEPULVEDA CARDONANA"
URBANITAS,Otros artículos publicados,Revista de divulgación,Proyecto mediación en la escritura a través de software,Colombia,RedLecturas:  Un espacio para la lectura y el diálogo razonado,2027-8373,2011,4,N/A,5 - 11,EDWIN ANDRES SEPULVEDA CARDONANA
URBANITAS,Otros artículos publicados,Revista de divulgación,Hacia las competencias humanas,Colombia,Afacom - Memorias De Los Encuentros Regionales 2011,2339-4579,2011,1,N/A,13 - 17,ANCIZAR VARGAS LEONNA
URBANITAS,Otros artículos publicados,Revista de divulgación,Marcas de los clanes wayuu: lotería bilingüe,Colombia,Entretextos / Universidad De La Guajira. Facultad Ciencias De La Educación,0123-9333,2008,2,,92 - 100,CARLOS SUAREZ QUICENONA
URBANITAS,Otros artículos publicados,Periódico de noticias,Interrogantes sobre el cine y las vanguardias artísticas.,Colombia,Imaginario. Suplemento Literario Del Periódico El Mundo,0122-221X,2008,1,,D8 - D9,PAOLO ANTONIO VILLALBA STORTINA
URBANITAS,Otros artículos publicados,Periódico de noticias,Lo bello y lo feo en el arte,Colombia,Imaginario. Suplemento Literario Del Periódico El Mundo,0122-221X,2008,1,,D6 - D7,PAOLO ANTONIO VILLALBA STORTINA
URBANITAS,Otros artículos publicados,Periódico de noticias,Reflexión sobre la estética en el teatro contemporáneo.,Colombia,Imaginario. Suplemento Literario Del Periódico El Mundo,0122-221X,2008,100,,D6 - D7,PAOLO ANTONIO VILLALBA STORTINA
URBANITAS,Otros artículos publicados,Periódico de noticias,Encuentro entre las artes escénicas y plásticas.,Colombia,Imaginario. Suplemento Literario Del Periódico El Mundo,0122-221X,2008,1,,D10 - D11,PAOLO ANTONIO VILLALBA STORTINA
URBANITAS,Otros artículos publicados,Periódico de noticias,"Norman Mailer, un inmortal de las letras.",Colombia,Imaginario. Suplemento Literario Del Periódico El Mundo,0122-221X,2007,1,,D12 - D13,PAOLO ANTONIO VILLALBA STORTINA
URBANITAS,Otros artículos publicados,Periódico de noticias,Anarquismo en el arte contemporáneo.,Colombia,Imaginario. Suplemento Literario Del Periódico El Mundo,0122-221X,2007,1,,D6 - D7,PAOLO ANTONIO VILLALBA STORTINA
URBANITAS,Otros artículos publicados,Periódico de noticias,Artistas plasticos objetuales en Antioquia,Colombia,Imaginario. Suplemento Literario Del Periódico El Mundo,0122-221X,2007,1,,d8 - d8,PAOLO ANTONIO VILLALBA STORTINA
URBANITAS,Otros artículos publicados,Periódico de noticias,Ciudad dispersa y de fragmentos,Colombia,Imaginario. Suplemento Literario Del Periódico El Mundo,0122-221X,2007,1,,d4 - d5,PAOLO ANTONIO VILLALBA STORTINA
URBANITAS,Otros artículos publicados,Periódico de noticias,Discusión sobre el estado del arte en Antioquia,Colombia,Imaginario. Suplemento Literario Del Periódico El Mundo,0122-221X,2007,1,,d6 - d7,PAOLO ANTONIO VILLALBA STORTINA
URBANITAS,Otros artículos publicados,Periódico de noticias,Toda una experiencia visual y sonora,Colombia,Imaginario. Suplemento Literario Del Periódico El Mundo,0122-221X,2007,1,,b11 - b11,PAOLO ANTONIO VILLALBA STORTINA
