revista,ISSN,categoria,SJR_Q,cantidad,porcentaje
MEDICINA U.P.B.,0120-4874,Sin categoria,Sin categoria,1,0.2
INGENIERÍA E INVESTIGACIÓN,0120-5609,A2,Q3,1,0.2
PROLEGÓMENOS,0121-182X,C,Sin categoria,1,0.2
IUSTA / UNIVERSIDAD SANTO TOMÁS. FACULTAD DE DERECHO,0121-3008,Sin categoria,Sin categoria,1,0.2
ESTUDIOS DE FILOSOFÍA,0121-3628,B,Sin categoria,1,0.2
SUMA PSICOLÓGICA,0121-4381,B,Q3,1,0.2
NOVUM,0121-5698,Sin categoria,Sin categoria,1,0.2
ÁNFORA,0121-6538,C,Sin categoria,1,0.2
HACIA LA PROMOCIÓN DE LA SALUD,0121-7577,B,Sin categoria,1,0.2
HISTORIA CARIBE,0122-8803,A2,Q3,1,0.2
PANORAMA ECONÓMICO,0122-8900,Sin categoria,Sin categoria,1,0.2
EDUCACIÓNY EDUCADORES,0123-1294,B,Sin categoria,1,0.2
TECNOLÓGICAS,0123-7799,C,Sin categoria,1,0.2
"NEUROPSICOLOGÍA, NEUROPSIQUIATRÍA Y NEUROCIENCIAS",0124-1265,Sin categoria,Sin categoria,1,0.2
DISCUSIONES FILOSÓFICAS,0124-6127,C,Q4,1,0.2
INVESTIGACIONES ANDINA,0124-8146,Sin categoria,Sin categoria,1,0.2
REVISTA CUBANA DE OBSTETRICIA Y GINECOLOGIA,0138-600X,C,Q3,1,0.2
DYES AND PIGMENTS,0143-7208,A1,Q1,1,0.2
ESTUDIOS SOCIALES: REVISTA DE INVESTIGACIÓN CIENTÍFICA,0188-4557,Sin categoria,Sin categoria,1,0.2
PERSONALITY AND INDIVIDUAL DIFFERENCES,0191-8869,A1,Q1,1,0.2
REVISTA DE NEUROLOGIA,0210-0010,B,Q3,1,0.2
SIGLO CERO,0210-1696,B,Q2,1,0.2
ASCLEPIO,0210-4466,B,Q3,1,0.2
PAPELES DEL PSICOLOGO,0214-7823,B,Q3,1,0.2
REVISTA DE PSICOLOGIA,0254-9247,C,Q4,1,0.2
MATERIALS SCIENCE AND TECHNOLOGY,0267-0836,A1,Q2,1,0.2
BRITISH JOURNAL OF NEUROSURGERY,0268-8697,A2,Q3,1,0.2
JOURNAL OF ENVIRONMENTAL MANAGEMENT,0301-4797,A1,Q1,1,0.2
BIOSYSTEMS,0303-2647,A2,Q2,1,0.2
FUNCTIONAL NEUROLOGY,0393-5264,A2,Q3,1,0.2
INFORMACION TECNOLOGICA,0716-8756,A2,Q2,1,0.2
TEOLOGIA Y VIDA,0717-6295,A1,Q2,1,0.2
REVISTA AUSTRAL DE CIENCIAS SOCIALES,0718-1795,B,Q3,1,0.2
INGENIARE,0718-3305,B,Q4,1,0.2
CUADERNOS DE NEUROPSICOLOGÍA,0718-4123,Sin categoria,Sin categoria,1,0.2
REVISTA ELECTRÓNICA GESTIÓN DE LAS PERSONAS Y TECNOLOGÍA,0718-5693,Sin categoria,Sin categoria,1,0.2
NEW IDEAS IN PSYCHOLOGY,0732-118X,A1,Q1,1,0.2
REVISTA DE FILOSOFIA,0798-1171,B,Q4,1,0.2
JOURNAL OF INTERPERSONAL VIOLENCE,0886-2605,A1,Q2,1,0.2
JOURNAL OF INDIAN PSYCHOLOGY,0972-5431,Sin categoria,Sin categoria,1,0.2
INTERNATIONAL JOURNAL OF APPLIED ENGINEERING RESEARCH,0973-4562,Sin categoria,Sin categoria,1,0.2
INDIAN JOURNAL OF SCIENCE AND TECHNOLOGY,0974-6846,Sin categoria,Sin categoria,1,0.2
OPCION,1012-1587,Sin categoria,-,1,0.2
ADVANCES IN PUBLIC INTEREST ACCOUNTING,1041-7060,Sin categoria,Q4,1,0.2
HUMAN BRAIN MAPPING,1065-9471,A1,Q1,1,0.2
JOURNAL OF PHYSICAL CHEMISTRY A,1089-5639,A2,Q2,1,0.2
NEUROIMAGE,1095-9572,A1,Q1,1,0.2
INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY,1097-461X,A2,Q2,1,0.2
JOURNAL OF CLINICAL MICROBIOLOGY,1098-660X,A1,Q1,1,0.2
PHYTOCHEMICAL ANALYSIS,1099-1565,A1,Q1,1,0.2
REVISTA IBEROAMERICANA DE DIAGNOSTICO Y EVALUACION E AVALIACAO PSICOLOGICA,1135-3848,B,Q3,1,0.2
ILU REVISTA DE CIENCIAS DE LAS RELIGIONES,1135-4712,B,Q4,1,0.2
AGROALIMENTARIA,1316-0354,Sin categoria,Q4,1,0.2
CHEMICAL COMMUNICATIONS,1359-7345,A1,Q1,1,0.2
COMPUTER FRAUD AND SECURITY,1361-3723,A2,Q2,1,0.2
INTERNATIONAL JOURNAL OF INNOVATION MANAGEMENT,1363-9196,A2,Q2,1,0.2
CHEMICAL COMMUNICATIONS,1364-548X,A1,Q1,1,0.2
NEW JOURNAL OF CHEMISTRY,1369-9261,A1,Q1,1,0.2
TIJDSCHRIFT VAN DE KONINKLIJKE VERENIGING VOOR NEDERLANDSE MUZIEKGESCHIEDENIS,1383-7079,C,Q4,1,0.2
CHEMICAL ENGINEERING JOURNAL,1385-8947,A1,Q1,1,0.2
PHYSICA E LOW DIMENSIONAL SYSTEMS AND NANOSTRUCTURES,1386-9477,A2,Q2,1,0.2
SOPHÍA: COLECCIÓN DE FILOSOFÍA DE LA EDUCACIÓN,1390-8626,Sin categoria,Sin categoria,1,0.2
PSICOLOGIA Y SALUD,1405-1109,C,Sin categoria,1,0.2
MICROSCOPY AND MICROANALYSIS,1431-9276,A1,Q2,1,0.2
THEORETICAL CHEMISTRY ACCOUNTS,1432-881X,B,Q3,1,0.2
