nombre_revista,clasificacion,ano,ISSN
Revista Colombiana De Cancerología,C,2016,01239015
Investigaciones Andina,A2,2016,01248146
Revista Colombiana De Ciencias Químico Farmacéuticas,A2,2016,00347418
Trabajo Social,C,2016,01234986
Revista Colombiana De Psicología,A1,2016,01215469
Forma Y Función,A2,2016,0120338X
Revista Colombiana De Biotecnologia,A2,2016,19098758
Acta Biológica Colombiana,A2,2016,19001649
Ideas Y Valores,A2,2016,01200062
Revista Colombiana De Química,A2,2016,01202804
Revista Facultad De Ciencias Básicas,B,2016,19004699
Academia Y Virtualidad,C,2016,20110731
Revista De Investigación,C,2016,2011639X
Dimensión Empresarial,B,2016,16928563
Civilizar,A2,2016,16578953
Revista Corpoica,A2,2016,01228706
Audiología Hoy,C,2016,1657723X
"Saber, Ciencia Y Libertad",B,2016,17947154
Boletín De Investigaciones Marinas Y Costeras,A2,2016,01229761
Impetus,C,2016,20114680
Revista Latinoamericana De Etnomatemática,C,2016,20115474
Cuaderno Activa,C,2016,20278101
Co-Herencia,A2,2016,17945887
Vitae,A1,2016,01214004
Estudios De Derecho,B,2016,01201867
"Trilogía. Ciencia, Tecnologia Y Sociedad",C,2016,21454426
Revista Investigaciones Aplicadas,C,2016,20110413
I+D Revista De Investigaciones,C,2016,22561676
Psicología Desde El Caribe,A1,2016,20117485
Memorias,A2,2016,17948886
Educacion Y Humanismo,C,2016,01242121
Ingeniare,C,2016,19092458
Revista Facultad De Ingeniería,A2,2016,01211129
Revista Institucional De La Universidad Tecnológica Del Chocó,C,2016,16573498
Kepes,B,2016,17947111
Revista Del Departamento De Antropología Y Sociología Facultad De Ciencias Jurídicas Y Sociales,B,2016,01234471
Revista Colombiana De Las Artes Escénicas,C,2016,2011222X
Lumina,C,2016,01234072
Bistua : Revista  De La Facultad De Ciencias Básicas,B,2016,01204211
Face Revista De La Facultad De Ciencias Economicas U De Pamplona,C,2016,17949920
"Ct&F Ciencia, Tecnología Y Futuro",A1,2016,01225383
Revista Ustasalud Odontología,C,2016,16925106
Gerencia Tecnológica Informática - Gti,B,2016,16578236
Uis Ingenierías,B,2016,16574583
Ces Odontología,B,2016,0120971X
Revista Ces Medicina,A2,2016,01208705
Precedente,C,2016,16576535
Praxis Filosófica,A2,2016,01204688
Sociedad Y Economía,A2,2016,16576357
Ingenieria Y Competitividad,C,2016,20278284
Tecnura,A2,2016,0123921X
Memoria Y Sociedad,B,2016,01225197
Magistro,C,2016,20118643
Estudios Socio-Jurídicos,A2,2016,01240579
Nodo,B,2016,19093888
"Tea Tecné, Episteme Y Didaxis",B,2016,01213814
Nodos Y Nudos,B,2016,01224328
Cuadernos Hispanoamericanos De Psicología,C,2016,16573412
Cuadernos De Desarrollo Rural,A1,2016,01221450
Signo Y Pensamiento,A2,2016,01204823
Revista De Arquitectura,B,2016,16570308
"Revista Científica ""General José María Córdova""",B,2016,19006586
Revista De La Facultad De Medicina Veterinaria Y De Zootecnia,A2,2016,01202952
Desde El Jardín De Freud,C,2016,16573986
Anuario Colombiano De Historia Social,A2,2016,01202456
Equidad & Desarrollo,C,2016,16927311
Revista De Medicina Veterinaria,A2,2016,01229354
Actualidades Pedagógicas,C,2016,01201700
Educacion Y Desarrollo Social,C,2016,20115318
Oasis,B,2016,16577558
Revista De Ingeniería,A2,2016,01214993
Criterio Libre,B,2016,19000642
Cooperativismo & Desarrollo,C,2016,01207180
Arka Revista De Arquitectura,C,2016,22158987
Boletín Científico Cioh,B,2016,01200542
R.F.S. Revista Facultad De Salud Universidad Surcolombiana,C,2016,21451362
Jangwa Pana,C,2016,16574923
Revista De Ciencias Agricolas,B,2016,01200135
Revista De La Asociación Colombiana De Dermatología Y Cirugía Dermatológica,C,2016,16570448
Boletín De Ciencias De La Tierra,A2,2016,01203630
Revista Latinoamericana De Bioetica/Latinamerican Journal Of Bioethics,A2,2016,16574702
Journal Of Agriculture And Animal Sciences,C,2016,22563342
Eafit Journal Of International Law,C,2016,22160965
Revista Interamericana De Bibliotecología,A2,2016,01200976
Revista Facultad De Ingeniería,A1,2016,01206230
Ingenierias Usbmed,C,2016,20275846
Aletheia,B,2016,21450366
Zona Proxima,B,2016,21459444
Investigación & Desarrollo,A2,2016,20117574
Encuentros,B,2016,16925858
Escenarios,C,2016,17941180
Inge-Cuc,C,2016,01226517
Modulo Arquitectura- Cuc,C,2016,01246542
"Revista De Investigacion, Desarrollo E Innovacion",B,2016,20278306
Revista De La Facultad Ciencias De La Salud Universidad Del Cauca,C,2016,0124308X
Boletín Científico Del Museo De Historia Natural,A2,2016,01233068
Revista De Investigaciones,C,2016,0121067X
Revista Ingenio Ufpso,C,2016,2011642X
Temas,C,2016,16926226
Dixi,C,2016,01247255
"Fuentes, El Reventón Energético",B,2016,16576527
Revista Colombiana De Neumología,B,2016,01215426
Estudios Gerenciales,A2,2016,01235923
Revista De Psicologia Gepu,B,2016,21456569
Revista Colombiana De Entomología,A1,2016,01200488
Revista Colombiana De Reumatología,A2,2016,01218123
Albertus Magnus,C,2016,20119771
Suma De Negocios,C,2016,2215910X
Revista Universidad Y Empresa,C,2016,01244639
Folios,A2,2016,01234870
Lúdica Pedagógica,B,2016,01214128
Revista Colombiana De Enfermeria,C,2016,19091621
Actualizaciones En Enfermería,C,2016,01235583
Theologica Xaveriana,A2,2016,01203649
"Cuadernos De Música, Artes Visuales Y Artes Escénicas",B,2016,17946670
Universitas Médica,B,2016,00419095
Ingeniería Y Universidad,A2,2016,01232126
Acta Colombiana De Psicología,A1,2016,01239155
Biomédica,A1,2016,01204157
Revista De La Facultad De Medicina De La Universidad Nacional De Colombia,A2,2016,01200011
Gestión Y Ambiente,C,2016,0124177X
Cuadernos De Geografía,A2,2016,0121215X
Revista Ciencia Animal,C,2016,2011513X
Prolegomenos : Derechos Y Valores,B,2016,0121182X
Revista@E-Mercatoria,B,2016,16923960
Revista Digital De Derecho Administrativo,C,2016,21452946
