revista,categoria,ano,ISSN
BOSTON UNIVERSITY LAW REVIEW,A1,2021,0006-8047
BRAIN,A1,2021,0006-8950; 1460-2156
BRAIN BEHAVIOR AND EVOLUTION,A1,2021,0006-8977; 1421-9743
BRITISH FOOD JOURNAL,A1,2021,0007-070X; 1758-4108
BRITISH JOURNAL FOR THE HISTORY OF SCIENCE,A1,2021,0007-0874; 1474-001X
BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,A1,2021,0007-0882; 1464-3537
BRITISH JOURNAL OF ANAESTHESIA,A1,2021,0007-0912; 1471-6771
BRITISH JOURNAL OF CANCER,A1,2021,0007-0920; 1532-1827
BRITISH JOURNAL OF CRIMINOLOGY,A1,2021,0007-0955; 1464-3529
BRITISH JOURNAL OF DERMATOLOGY,A1,2021,0007-0963; 1365-2133
BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY,A1,2021,0007-0998; 2044-8279
BRITISH JOURNAL OF EDUCATIONAL STUDIES,A1,2021,0007-1005; 1467-8527
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,A1,2021,0007-1013; 1467-8535
BRITISH JOURNAL OF HAEMATOLOGY,A1,2021,0007-1048; 1365-2141
BRITISH JOURNAL OF INDUSTRIAL RELATIONS,A1,2021,0007-1080; 1467-8543
BRITISH JOURNAL OF MATHEMATICAL AND STATISTICAL PSYCHOLOGY,A1,2021,0007-1102
BRITISH JOURNAL OF NUTRITION,A1,2021,0007-1145; 1475-2662
BRITISH JOURNAL OF OPHTHALMOLOGY,A1,2021,0007-1161; 1468-2079
BRITISH JOURNAL OF PHARMACOLOGY,A1,2021,0007-1188; 1476-5381
BRITISH JOURNAL OF POLITICAL SCIENCE,A1,2021,0007-1234; 1469-2112
BRITISH JOURNAL OF PSYCHIATRY,A1,2021,0007-1250; 1472-1465
BRITISH JOURNAL OF PSYCHOLOGY GENERAL SECTION,A1,2021,0007-1269
BRITISH JOURNAL OF SOCIOLOGY,A1,2021,0007-1315; 1468-4446
